rodada;tipo;trocas;tempo
1;BUBBLE;225727034;106.16833162307739
2;BUBBLE;225750058;104.0232584476471
3;BUBBLE;224248620;105.12377953529358
1;HEAP;419944;0.27129411697387695
2;HEAP;839823;0.3196253776550293
3;HEAP;1259876;0.26874375343322754
1;INSERTION;225727034;46.17430281639099
2;INSERTION;225750058;45.51446890830994
3;INSERTION;224248620;47.58994913101196
1;QUICK;29999;0.1076657772064209
2;QUICK;29998;0.1134042739868164
3;QUICK;29999;0.11654043197631836
1;SELECTION;29999;32.97250056266785
2;SELECTION;29999;33.67273306846619
3;SELECTION;29999;34.31556439399719
1;SHELL;524509;0.23555684089660645
2;SHELL;551437;0.2539238929748535
3;SHELL;574844;0.25235462188720703
